FIPS,quadrant,avg_down,avg_up,max_down,max_up,num_providers,num_platforms,top_plat_type,top_plat_ratio,bscore_raw,bscore_norm,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,Building Type_Commercial & Office Buildings,Building Type_Industrial & Manufacturing Buildings,Building Type_Mixed Residential & Commercial Buildings,Building Type_Multi-Family Elevator Buildings,Building Type_Multi-Family Walk-Up Buildings,Building Type_One & Two Family Buildings,Building Type_Open Space & Outdoor Recreation,Building Type_Parking Facilities,Building Type_Public Facilities & Institutions,Building Type_Transportation & Utility,Building Type_Vacant Land,Population Density (per sq. mile),Area (Land),Area Total:,Area Total: Area (Water),Total Population:,Households:,Households: Less than $10_000,Households: $10_000 to $14_999,Households: $15_000 to $19_999,Households: $20_000 to $24_999,Households: $25_000 to $29_999,Households: $30_000 to $34_999,Households: $35_000 to $39_999,Households: $40_000 to $44_999,Households: $45_000 to $49_999,Households: $50_000 to $59_999,Households: $60_000 to $74_999,Households: $75_000 to $99_999,Households: $100_000 to $124_999,Households: $125_000 to $149_999,Households: $150_000 to $199_999,Households: $200_000 or More,Per capita income (In 2014 Inflation adjusted dollars),Gini Index
36085009700,1,143.6041667,39.24773333,300,100.0,2,3,Cable,0.343023256,194.2280333,-0.40636159,2403636,601524,1802112,4704,18182,18140,17480,28045,1286,1781.54,1512,1564,2,6,2,1,19,778,5,4,2,10,30,9129.062,0.444185842,0.6062611,0.1620753,4055,1456,133,85,101,59,26,13,34,46,34,81,145,202,111,171,163,52,30487.0,0.4344
36085017300,1,147.7711333,44.1788,300,100.0,2,3,Cable,0.360655738,200.8605333,-0.371328652,1335807,32850,1302957,1856,25714,0,4400,0,441,661.92,938,954,7,0,3,1,0,397,1,2,0,1,14,18472.75,0.132519533,0.1325195,0.0,2448,944,175,62,54,19,71,21,70,44,26,58,63,93,42,13,86,47,25570.0,0.5284
36085000300,3,74.53968254,19.83987302,300,100.0,14,4,Fiber,0.472222222,121.459619,-0.790725149,3525310,2240516,1284794,1021105,102771,300348,30022,60483,232,408.75,1307,1522,42,3,19,8,21,23,1,10,11,9,27,7267.201,0.225533863,0.965867,0.7403331,1639,854,38,30,40,37,68,46,33,22,81,42,92,182,33,34,43,33,36213.0,0.3945
36085001100,3,135.8666667,40.26373333,300,100.0,2,3,Cable,0.361111111,186.9985333,-0.444547888,2141444,572425,1569019,377386,60550,22650,10632,1960,711,1450.67,1410,1495,3,2,49,1,109,419,1,12,13,3,53,22976.79,0.125517956,0.1255179,0.0,2884,1108,141,139,4,120,52,8,42,69,6,62,126,120,64,41,82,32,23717.0,0.4789
36085007700,1,140.3823529,39.67388235,300,100.0,2,3,Cable,0.389908257,191.2192941,-0.422253783,791433,71900,719533,8783,32338,12524,0,1800,432,804.0,557,600,3,1,27,0,20,319,4,13,5,1,54,13099.17,0.09596029,0.09596029,0.0,1257,405,66,13,6,6,16,23,17,11,0,53,39,69,15,44,27,0,20535.0,0.4128
36085006700,2,130.3791667,38.28326667,300,100.0,7,3,Fiber,0.365384615,183.0208,-0.465558319,2526647,914012,1612635,168378,564518,1125,0,0,1258,1694.29,1091,4098,16,0,11,0,31,706,5,1,13,1,19,7028.262,0.367089346,0.3677789,0.000689579,2580,988,51,14,15,15,20,44,83,34,0,63,48,105,127,141,117,111,42316.0,0.4011
36085012805,1,140.3882353,40.22776471,300,100.0,2,3,Copper,0.337931034,191.5021176,-0.420759906,1414134,18222,1395912,0,1549,0,0,0,922,1750.84,1068,1075,0,0,3,0,4,845,12,2,5,1,227,6991.225,0.388916088,0.5219414,0.1330253,2719,963,24,0,69,34,58,50,37,35,0,113,98,102,72,42,155,74,34863.0,0.4413
36085002100,3,120.4104046,32.94501734,300,100.0,7,3,Fiber,0.41509434,170.3829133,-0.532311774,3654808,1708611,1946197,354748,379380,85503,302777,36467,1161,2059.59,2044,2383,55,17,86,1,50,653,5,44,24,25,85,8145.204,0.481387559,1.078695,0.5973078,3921,1417,206,56,68,59,82,107,80,47,4,83,183,222,66,37,102,15,21735.0,0.4481
36061001401,1,211.6666667,140.9230769,1000,1000.0,13,4,Copper,0.391304348,388.6282051,0.620462243,2184118,209094,1975024,32580,52606,58050,0,0,13,63.0,1746,1788,1,0,0,2,0,0,5,0,3,0,0,88770.3,0.036104414,0.03610441,0.0,3205,1602,18,112,69,93,106,28,69,0,34,117,147,117,111,111,112,358,62230.0,0.4908
36061002201,1,229.7959184,175.3469388,1000,1000.0,10,4,Cable,0.368421053,422.4693878,0.799211739,3329154,568043,2761111,10128,150334,16891,3840,0,113,482.5,3148,5799,7,1,39,14,22,0,3,4,9,1,6,110124.3,0.062420366,0.06242037,0.0,6874,2892,292,357,164,254,116,238,85,140,149,164,326,158,176,103,59,111,26204.0,0.5141
36061003200,1,271.3333333,212.5333333,1000,1000.0,9,4,Copper,0.490196078,482.1,1.114181285,4465020,569044,3895976,10370,286288,0,21665,0,310,1425.5,5089,5402,3,1,139,20,101,1,3,1,12,1,9,92828.47,0.084047494,0.0840475,0.0,7802,4517,530,157,173,115,116,90,116,200,104,418,475,670,370,268,388,327,52061.0,0.4534
36061004000,1,201.3888889,147.2222222,1000,1000.0,14,4,Copper,0.271186441,382.0,0.585451991,4371129,1074664,3296465,35157,348332,27575,9134,0,333,1564.0,4870,5200,6,0,124,22,106,23,0,4,16,1,0,138590.6,0.068857462,0.06885746,0.0,9543,4233,357,160,86,286,168,110,61,42,24,293,272,477,508,194,572,623,56101.0,0.4844
36061007700,1,218.2692308,156.3269231,1000,1000.0,18,4,Copper,0.310810811,405.4326923,0.709223728,4132528,950351,3182177,443332,245497,38083,45211,9242,406,1524.5,4492,4778,9,2,97,17,131,85,4,1,11,2,1,79939.24,0.068989895,0.0689899,0.0,5515,3564,131,90,106,37,120,23,93,49,89,134,329,373,316,411,272,991,120307.0,0.5274
